LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2,SCALE_TYP
100021-5,gnaq gene mutations found [identifier] in blood or tissue by molecular genetics method nominal,gnaq gene mut anl bld/t,gnaq gene targeted mutation analysis molgen nom (bld/tiss),"blood; cmc1; g protein subunit alpha q; g-alpha-q; gaq; identity or presence; molecular genetics; molecular pathology; molpath; molpath.mutations; mut; mut anl; mutations; nominal; pcr; point in time; random; sws; tissue; tissue, unspecified; wb; whole blood; whole blood or tissue",Nom
10003-2,r wave duration in lead iii,r wave dur l-iii,,3; cardiac; cardio; cardiology; durat; ecg; ekg.measurements; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; r prime; r' wave dur l-iii; r wave dur l-iii; random; right,Qn
100035-5,exam finding location of chest,exam finding location chest,,finding; findings; h+p; h+p.px; nominal; p prime; point in time; random; thorax,Nom
100048-8,clarithromycin+ethambutol [susceptibility],clarithro+ethamb susc islt,clarithromycin+ethambutol [susc],antibiotic susceptibilities; ast; biaxin; claripen; clarithro+ethamb; etambol; ethamb; inagen; islt; isol; klacid; myambutol; mycobutol; olbutam; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
100064-5,itch severity reporting period - reported,itch severity rptperiod reported,,clin; finding; findings; ordinal; ql; qual; qualitative; report period; screen,Ord
100079-3,left cornea endothelial cell area.min,l cornea endothelial cell area.min,,corneal; eye; l; l cornea; lt; minimal; minimum; point in time; qnt; quan; quant; quantitative; random,Qn
100088-4,taenia solium larva ab bands panel - serum by immunoblot,t solium ab bands pnl ser ib,taenia solium larva ab bands panel ib (s),blt; cysticercosis; cysticercus; immune blot; immunobl; immunoblot; microbiology; pan; panel.microbiology; panl; pnl; point in time; random; riba; serum; sr; t sol; t sol lar; t solium; t solium ab bands pnl; tapeworm; wb; wblot; west blot; west blt; western blot,-
100092-6,trypanosoma cruzi ab bands panel - serum by immunoblot,t cruzi ab bands pnl ser ib,trypanosoma cruzi ab bands panel ib (s),blt; chagas disease; immune blot; immunobl; immunoblot; microbiology; pan; panel.microbiology; panl; pnl; point in time; random; riba; serum; sr; t cruzi; t cruzi ab bands pnl; trypanosomiasis; trypanosomosis; wb; wblot; west blot; west blt; western blot,-
100103-1,fasciola sp 60kd igg ab [presence] in serum by immunoblot,fasciola sp 60kd igg ser ql ib,fasciola sp 60kd igg ib ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; blt; immune blot; immune globulin g; immunobl; immunoblot; immunoglobulin g; microbiology; ordinal; point in time; pr; ql; qual; qualitative; random; riba; screen; serum; species; spp; sr; wb; wblot; west blot; west blt; western blot,Ord
10011-5,r' wave amplitude in lead avl,r' wave amp l-avl,,cardiac; cardio; cardiology; ecg; ekg.measurements; electrical potential; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; r prime; r' wave amp l-avl; r wave amp l-avl; random; right; voltage,Qn
100121-3,chlamydia trachomatis iga ab [presence] in serum by immunoassay,c trach iga ser ql ia,c. trachomatis iga ia ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; c trac; c trach; c tracho; c trachomatis; chlam; chlam trac; chlamid; ct; eia; elfa; elisa; enzyme immunoassay; iaa; immune globulin a; immunoglobulin a; lgv; lymphogranuloma venereum; meia; microbiology; ordinal; point in time; pr; ql; qual; qualitative; random; screen; serum; sr; suds; trachoma,Ord
100130-4,schistosoma mansoni ab [presence] in serum by immunoblot,s mansoni ab ser ql ib,s. mansoni ab ib ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; bilharziasis; blt; immune blot; immunobl; immunoblot; microbiology; ordinal; p3; point in time; pr; ql; qual; qualitative; random; riba; s mansoni; schistosomiasis; screen; serum; sr; wb; wblot; west blot; west blt; western blot,Ord
100134-6,schistosoma sp 11kd ab [presence] in serum by immunoblot,schistosoma sp 11kd ab ser ql ib,schistosoma sp 11kd ab ib ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; bilharziasis; blood fluke; blt; cercarial dermatitis; immune blot; immunobl; immunoblot; microbiology; ordinal; point in time; pr; ql; qual; qualitative; random; riba; schistosomiasis; screen; serum; species; spp; sr; wb; wblot; west blot; west blt; western blot,Ord
100146-0,schistosoma sp 120kd ab [presence] in serum by immunoblot,schistosoma sp 120kd ab ser ql ib,schistosoma sp 120kd ab ib ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; bilharziasis; blood fluke; blt; cercarial dermatitis; immune blot; immunobl; immunoblot; microbiology; ordinal; point in time; pr; ql; qual; qualitative; random; riba; schistosomiasis; screen; serum; species; spp; sr; wb; wblot; west blot; west blt; western blot,Ord
10014-9,r' wave amplitude in lead ii,r' wave amp l-ii,,2; cardiac; cardio; cardiology; ecg; ekg.measurements; electrical potential; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; r prime; r' wave amp l-ii; r wave amp l-ii; random; right; voltage,Qn
100159-3,knee society score pre-op panel [knee society score],,,before; kss; kss pre-op; lower extremity joint; ortho; pan; panl; pnl; point in time; random; survey; systemic coronary risk evaluation,-
100164-3,knee ap instability w 90 degree flexion,knee ap instability w 90 deg flex,knee ap instability w 90 degree flexion,ap instability; ap instability^w 90 degree flexion; clin; finding; findings; kn; lower extremity joint; ordinal; point in time; ql; qual; qualitative; random; screen,Ord
100168-4,knee pain severity with level walking,,,finding; findings; levels; levl; lower extremity joint; lv; lvl; ordinal; point in time; ql; qual; qualitative; random; screen; survey,Ord
100171-8,satisfaction with level of knee pain while sitting,,,finding; findings; levels; levl; lower extremity joint; lv; lvl; ordinal; point in time; ql; qual; qualitative; random; screen; survey,Ord
100179-1,walk without assistive mobility devices,,,finding; findings; ordinal; ortho; point in time; ql; qual; qualitative; random; screen; survey,Ord
100180-9,assistive mobility devices used,,,finding; findings; nominal; ortho; point in time; random; survey,Nom
100204-7,accuracy of pre-surgery expectations of pain relief,,,before; finding; findings; ordinal; ortho; point in time; ql; qual; qualitative; random; screen; surg; survey,Ord
100225-2,bone density quantitative ultrasound study,bone density qus,,bmd; bone density qn us; den; document; finding; findings; imaging; point in time; radiology; random; study report,Doc
100228-6,upper gastrointestinal capsule endoscopy study document,ugi capsule endo study doc,,document; finding; findings; gi; gi.endoscopy; point in time; random; study report; ugi capsule endo study; up,Doc
100239-3,felt as if adverse event did not happen,,,ae; arterial stenosis; finding; findings; ordinal; ql; qual; qualitative; report period; screen; survey; survey.mtlhlth,Ord
100244-3,"aware of feelings about adverse event, but did not address them",,,ae; finding; findings; ordinal; ql; qual; qualitative; report period; screen; survey; survey.mtlhlth,Ord
10024-8,r' wave duration in lead avr,r' wave dur l-avr,,cardiac; cardio; cardiology; durat; ecg; ekg.measurements; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; r prime; r' wave dur l-avr; r wave dur l-avr; random; right,Qn
100250-0,trouble concentrating,,,finding; findings; ordinal; ql; qual; qualitative; report period; screen; survey; survey.mtlhlth,Ord
100265-8,aware of dietary intake impact on self,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
100274-0,observing score [ffmq],,,point in time; qnt; quan; quant; quantitative; random; scale; survey; survey.mtlhlth,Qn
100282-3,vaccine exemption certificate,vaccine exemption cert,,admin; doc.admin; document; finding; findings; point in time; random,Doc
100291-4,total score [harris hip score],,,hhs; lower extremity joint; ortho; point in time; qnt; quan; quant; quantitative; random; scale; survey; systemic coronary risk evaluation; tot; totl,Qn
100308-6,need help getting to essential places,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
100326-8,money spent or property sold without permission,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
