source_text,true_loinc,true_text,pred_loinc,pred_text,pred_score,true_target_rank,is_correct,top_5_loincs,top_5_scores,error_category,source_length,source_word_count
hemoglobin blood,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.16448772,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1645,-0.2235,-0.3061,-0.3895,-0.4848",,16,2
hgb serum,718-7,Hemoglobin [Mass/volume] in Blood,10004-0,Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis,-0.31806356,2,False,"10004-0,718-7,10003-2,777-3,6690-2","-0.3181,-0.3284,-0.3702,-0.4436,-0.4591",AMBIGUOUS_SOURCE,9,2
hgb,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.15543938,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1554,-0.1726,-0.1931,-0.3695,-0.4187",,3,1
hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.14032441,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1403,-0.2273,-0.3347,-0.3981,-0.4565",,10,1
potassium serum,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.2632755,1,True,"2823-3,10175-1,10000-8,10266-1,10075-2","-0.2633,-0.5548,-0.5550,-0.5868,-0.5869",,15,2
potassium plasma,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.5456668,1,True,"2823-3,10007-3,10000-6,10020-2,10107-2","-0.5457,-0.6289,-0.6601,-0.6665,-0.6686",,16,2
k,2823-3,Potassium [Moles/volume] in Serum,10001-6,Lead [Mass/volume] in Urine,-0.417854,-1,False,"10001-6,10002-4,10009-9,2951-2,2951-2 ","-0.4179,-0.4244,-0.6480,-0.8324,-0.8324",SPECIMEN_MISMATCH,1,1
k+,2823-3,Potassium [Moles/volume] in Serum,10001-6,Lead [Mass/volume] in Urine,-0.44224733,4,False,"10001-6,10002-4,10009-9,2823-3,2951-2 ","-0.4422,-0.4427,-0.7120,-0.7224,-0.7589",SPECIMEN_MISMATCH,2,1
wbc count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.33929121,1,True,"6690-2,718-7,777-3,10004-0,10003-2","-0.3393,-0.4543,-0.4601,-0.4696,-0.5571",,9,2
white blood cell count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.44459766,1,True,"6690-2,718-7,777-3,10004-0,10003-2","-0.4446,-0.5421,-0.5445,-0.5876,-0.7007",,22,4
leukocytes,6690-2,Leukocytes [#/volume] in Blood by Automated count,10002-4,Lead [Moles/volume] in Urine,-0.4277652,3,False,"10002-4,10001-6,6690-2,10009-9,718-7","-0.4278,-0.4353,-0.5552,-0.6689,-0.7501",SPECIMEN_MISMATCH,10,1
white count,6690-2,Leukocytes [#/volume] in Blood by Automated count,10248-4,Synthetic LOINC code 10248-4,-0.6534224,-1,False,"10248-4,10161-4,10244-2,10237-4,10234-2","-0.6534,-0.6688,-0.6766,-0.6862,-0.6874",COMPLETELY_DIFFERENT,11,2
plt,777-3,Platelets [#/volume] in Blood by Automated count,10001-6,Lead [Mass/volume] in Urine,-0.4473099,-1,False,"10001-6,10002-4,10009-9,10257-7,10318-7","-0.4473,-0.4620,-0.6762,-0.6860,-0.6875",SPECIMEN_MISMATCH,3,1
platelet count,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.16890877,1,True,"777-3,6690-2,718-7,10004-0,10003-2","-0.1689,-0.2364,-0.3162,-0.4437,-0.4874",,14,2
thrombocytes,777-3,Platelets [#/volume] in Blood by Automated count,718-7,Hemoglobin [Mass/volume] in Blood,-0.3333099,4,False,"718-7,6690-2,10004-0,777-3,10003-2","-0.3333,-0.3881,-0.4220,-0.4267,-0.5311",AMBIGUOUS_SOURCE,12,1
platelets,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.4300515,1,True,"777-3,6690-2,718-7,10004-0,10037-0","-0.4301,-0.4331,-0.4596,-0.5785,-0.6604",,9,1
sodium,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.24580944,2,False,"2951-2 ,2951-2,10002-4,10001-6,10223-7","-0.2458,-0.2458,-0.4733,-0.4744,-0.6399",SIMILAR_DESCRIPTION,6,1
na,2951-2,Sodium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.47514814,4,False,"10002-4,10001-6,2951-2 ,2951-2,10009-9","-0.4751,-0.5018,-0.6049,-0.6049,-0.7049",SPECIMEN_MISMATCH,2,1
sodium level,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.20038366,2,False,"2951-2 ,2951-2,10001-6,10002-4,2823-3","-0.2004,-0.2004,-0.5034,-0.5151,-0.6854",SIMILAR_DESCRIPTION,12,2
na serum,2951-2 ,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.3238023,1,True,"2951-2 ,2951-2,2823-3,10008-1,10223-7","-0.3238,-0.3238,-0.4218,-0.4781,-0.6016",,8,2
