top1_accuracy,top3_accuracy,top5_accuracy,mrr,target_pool_size,matching_loincs,test_samples,fold,target_pool,test_type
0.55,0.85,0.95,0.705,16,6,20,0,standard,original
0.5,0.8,0.95,0.6680555555555555,16,6,20,1,standard,original
0.55,0.85,0.95,0.705,16,6,20,2,standard,original
0.5,0.8,0.95,0.6645454545454546,16,6,20,3,standard,original
0.5,0.75,0.9,0.6675,16,6,20,4,standard,original
0.5,0.85,0.9,0.6545075757575758,460,6,20,0,expanded,original
0.5,0.85,0.9,0.6544543634691338,460,6,20,1,expanded,original
0.55,0.8,0.9,0.6753130486188241,460,6,20,2,expanded,original
0.5,0.85,0.9,0.6544254098951272,460,6,20,3,expanded,original
0.5,0.7,0.85,0.6378239792500142,460,6,20,4,expanded,original
0.43,0.74,0.91,0.6139523809523809,16,6,100,0,standard,augmented
0.44,0.76,0.91,0.6225079365079365,16,6,100,1,standard,augmented
0.46,0.75,0.91,0.6312424242424243,16,6,100,2,standard,augmented
0.43,0.71,0.9,0.6064090909090908,16,6,100,3,standard,augmented
0.44,0.69,0.89,0.6133030303030302,16,6,100,4,standard,augmented
0.44,0.75,0.88,0.5992130504893958,460,6,100,0,expanded,augmented
0.44,0.78,0.87,0.6030072001520385,460,6,100,1,expanded,augmented
0.47,0.76,0.88,0.6160618099104108,460,6,100,2,expanded,augmented
0.44,0.73,0.87,0.5962982672477347,460,6,100,3,expanded,augmented
0.44,0.67,0.85,0.5906861670165309,460,6,100,4,expanded,augmented
