top1_accuracy,top3_accuracy,top5_accuracy,top10_accuracy,mrr,target_pool_size,matching_loincs,test_samples,fold,target_pool,test_type
0.7,0.75,0.8,0.8,0.7291666666666666,4,4,20,0,standard,original
0.7,0.8,0.8,0.8,0.7333333333333333,4,4,20,1,standard,original
0.7,0.8,0.8,0.8,0.7333333333333333,4,4,20,2,standard,original
0.7,0.75,0.8,0.8,0.7291666666666666,4,4,20,3,standard,original
0.7,0.75,0.8,0.8,0.7291666666666666,4,4,20,4,standard,original
0.5,0.85,0.9,0.9,0.6545075757575758,460,6,20,0,expanded,original
0.5,0.85,0.9,0.9,0.6544543634691338,460,6,20,1,expanded,original
0.55,0.8,0.9,0.9,0.6753130486188241,460,6,20,2,expanded,original
0.5,0.85,0.9,0.9,0.6544254098951272,460,6,20,3,expanded,original
0.5,0.7,0.85,0.9,0.6378239792500142,460,6,20,4,expanded,original
0.69,0.75,0.8,0.8,0.7241666666666667,4,4,100,0,standard,augmented
0.67,0.8,0.8,0.8,0.7183333333333334,4,4,100,1,standard,augmented
0.7,0.76,0.8,0.8,0.73,4,4,100,2,standard,augmented
0.65,0.75,0.8,0.8,0.7041666666666667,4,4,100,3,standard,augmented
0.67,0.75,0.8,0.8,0.7141666666666667,4,4,100,4,standard,augmented
0.44,0.75,0.88,0.88,0.5992130504893958,460,6,100,0,expanded,augmented
0.44,0.78,0.87,0.88,0.6030072001520385,460,6,100,1,expanded,augmented
0.47,0.76,0.88,0.88,0.6160618099104108,460,6,100,2,expanded,augmented
0.44,0.73,0.87,0.88,0.5962982672477347,460,6,100,3,expanded,augmented
0.44,0.67,0.85,0.88,0.5906861670165309,460,6,100,4,expanded,augmented
