SOURCE,MAX_SIMILARITY,MAPPABLE,LOINC_1,TEXT_1,SCORE_1,LOINC_2,TEXT_2,SCORE_2,LOINC_3,TEXT_3,SCORE_3,LOINC_4,TEXT_4,SCORE_4,LOINC_5,TEXT_5,SCORE_5
"cholesterol, ldl, measured blood",-0.26375264,True,44915-7,cholesterol in ldl/cholesterol in hdl [molar ratio] in serum or plasma,-0.26375264,35197-3,cholesterol in hdl [mass or moles/volume] in serum or plasma,-0.27820831537246704,4470-1,choleglobin/hemoglobin.total in blood,-0.31625187397003174,11054-4,cholesterol in ldl/cholesterol in hdl [mass ratio] in serum or plasma,-0.31983792781829834,18263-4,cholesterol in hdl [mass/volume] in serum or plasma ultracentrifugate,-0.32886290550231934
hemosiderin urine,-0.15631574,True,4645-8,hemosiderin [mass/volume] in urine,-0.15631574,105906-2,blood [presence] in urine,-0.24983370304107666,14053-3,homocystine [presence] in urine,-0.2813020348548889,44373-9,homocysteine [presence] in urine,-0.2899971008300781,4558-3,hemoglobin barts [presence] in blood by electrophoresis acid (ph 6.3),-0.31898462772369385
anti-nuclear antibody blood,-0.34438002,True,40655-3,nuclear ab [titer] in serum by immunoassay,-0.34438002,1007-4,direct antiglobulin test.polyspecific reagent [presence] on red blood cells,-0.36237823963165283,68376-3,nuclear ab [titer] in body fluid by immunofluorescence,-0.370117723941803,13127-6,cancer ag dm/70k [units/volume] in serum or plasma,-0.40220773220062256,28378-8,depression [hiv-ssc],-0.41394996643066406
"urine volume, total urine",-0.20872158,True,21266-2,ethion [mass/volume] in urine,-0.20872158,26872-2,orotate [units/volume] in urine,-0.20935291051864624,3092-4,urea [mass/volume] in urine,-0.22019481658935547,11230-0,amobarbital [mass/volume] in urine,-0.2510892152786255,104534-3,consistency of urine,-0.2529550790786743
hemoglobin blood,-0.12060398,True,4575-7,hemoglobin e/hemoglobin.total in blood,-0.12060398,44921-5,hemoglobin d/hemoglobin.total in blood by hplc,-0.14543741941452026,44923-1,hemoglobin s/hemoglobin.total in blood by hplc,-0.1546810269355774,24469-9,hemoglobin xxx/hemoglobin.total in blood by electrophoresis,-0.18216466903686523,4587-2,hemoglobin h/hemoglobin.total in blood by electrophoresis,-0.18380498886108398
sedimentation rate blood,-0.278737,True,80513-5,mr bone marrow w contrast iv,-0.278737,2744-1,ph of arterial blood,-0.3260048031806946,16467-3,bismuth [presence] in blood,-0.32940739393234253,30180-4,basophils/leukocytes in blood,-0.3313947319984436,11156-7,leukocyte morphology finding [identifier] in blood,-0.33291900157928467
cd8 other body fluid,-0.35512495,False,UNMAPPABLE,No suitable LOINC match found,-0.35512495,,,,,,,,,,,,
mesothelial cells other body fluid,-0.19821924,True,28544-5,mesothelial cells/leukocytes in body fluid,-0.19821924,35652-7,epithelial cells/cells in body fluid,-0.3588564395904541,52882-8,cytoplasmic cd3 cells/cells in body fluid,-0.47717928886413574,2223-6,elastase.leukocyte [enzymatic activity/volume] in plasma,-0.48847246170043945,70123-5,epithelial cells.ciliated [presence] in body fluid,-0.5060917139053345
"blood, occult stool",-0.3193348,True,57905-2,hemoglobin.gastrointestinal.lower [presence] in stool by immunoassay --1st specimen,-0.3193348,32211-5,reducing substances [mass/volume] in stool,-0.3269116282463074,16853-4,fat [mass] in stool,-0.3460935950279236,14564-9,hemoglobin.gastrointestinal [presence] in stool --2nd specimen,-0.3476080894470215,30404-8,leukocytes [#/volume] in stool,-0.3478800654411316
cholesterol ratio (total/hdl) blood,-0.1448515,True,44915-7,cholesterol in ldl/cholesterol in hdl [molar ratio] in serum or plasma,-0.1448515,35197-3,cholesterol in hdl [mass or moles/volume] in serum or plasma,-0.16634762287139893,11054-4,cholesterol in ldl/cholesterol in hdl [mass ratio] in serum or plasma,-0.17558670043945312,4470-1,choleglobin/hemoglobin.total in blood,-0.17610371112823486,18263-4,cholesterol in hdl [mass/volume] in serum or plasma ultracentrifugate,-0.19403016567230225
trichomonas urine,-0.18392104,True,46958-5,triamcinolone acetonide [mass/volume] in urine,-0.18392104,34225-3,3-alpha-androstanediol glucuronide [moles/volume] in urine,-0.2033470869064331,52895-0,tellurium [moles/volume] in urine,-0.2082386016845703,45318-3,uroporphyrin 3 isomer/creatinine [molar ratio] in urine,-0.2137032151222229,18406-9,arsenic trioxide [mass/volume] in urine,-0.2203601598739624
cd33 bone marrow,-0.09702921,True,40895-5,cd3+cd56+ cells [#/volume] in bone marrow,-0.09702921,91674-2,cd3+cd16+cd56+ cells [#/volume] in bone marrow,-0.09943342208862305,51162-6,cd34 blasts/blasts in bone marrow,-0.1183919906616211,51164-2,cd34 blasts [units/volume] in bone marrow,-0.12413835525512695,51319-2,cd41 cells/cells in bone marrow,-0.1437973976135254
absolute cd8 count blood,-0.30430543,True,4531-0,complement total hemolytic [units/volume] in blood,-0.30430543,16107-5,cd8+hla-dr+ cells [#/volume] in blood,-0.3309583067893982,92759-0,"7-alpha,12-alpha dihydroxycholest-4-en-3-one [moles/volume] in blood",-0.35208582878112793,17213-0,cd98 cells/cells in blood,-0.36049991846084595,19225-2,deoxyhemoglobin/hemoglobin.total in arterial blood,-0.364621639251709
"lipase, ascites ascites",-0.44090152,False,UNMAPPABLE,No suitable LOINC match found,-0.44090152,,,,,,,,,,,,
other cells blood,-0.13711542,True,105873-4,other cells [#/volume] in blood,-0.13711542,30406-3,leukocytes other [#/volume] in blood,-0.27587074041366577,74450-8,other cells [#/volume] in cord blood,-0.27655029296875,30180-4,basophils/leukocytes in blood,-0.2825022339820862,26450-7,eosinophils/leukocytes in blood,-0.28830569982528687
pco2 blood,-0.30709445,True,2020-6,carbon dioxide [partial pressure] in capillary blood,-0.30709445,20565-8,"carbon dioxide, total [moles/volume] in blood",-0.3359745740890503,19893-7,carbon dioxide [partial pressure] in capillary blood --during bronchodilation,-0.36264902353286743,19902-6,carbon dioxide [partial pressure] in capillary blood by transcutaneous co2 monitor --post xxx treatment,-0.3768036961555481,47100-3,copper [moles/volume] in blood,-0.3841812014579773
"hepatitis b core antibody, igm blood",-0.10920602,True,83100-8,hepatitis b virus core igg+igm ab [presence] in serum or plasma by immunoassay,-0.10920602,24113-3,hepatitis b virus core igm ab [presence] in serum or plasma by immunoassay,-0.11476343870162964,40725-4,hepatitis b virus core igg ab [presence] in serum by immunoassay,-0.1449405550956726,63557-3,hepatitis b virus surface ag [units/volume] in serum or plasma by immunoassay,-0.1568368673324585,44921-5,hemoglobin d/hemoglobin.total in blood by hplc,-0.1703823208808899
mesothelial cells cerebrospinal fluid (csf),-0.2662716,True,55859-3,folate [mass/volume] in cerebral spinal fluid,-0.2662716,51402-6,cd81 cells/cells in cerebral spinal fluid,-0.2978439927101135,3792-9,methotrexate [mass/volume] in cerebral spinal fluid,-0.3012523055076599,42727-8,fibrin d-dimer [mass/volume] in cerebral spinal fluid by latex agglutination,-0.3020544648170471,35017-3,myelocytes [#/volume] in cerebral spinal fluid,-0.320473849773407
