LOINC_NUM,text_representation
25138-9,taurine/creatinine [molar ratio] in urine
25138-9,tauie/reatinne [mor ratio] in uin
25138-9,taurine/creatinine [molar ratio] in urine
25138-9,taurine/creat ur-srto
25138-9,ur-srto taurine/creat
25138-9,taurie/ceat ur-srto
25138-9,taurine/creatinine (u) [molar ratio]
25138-9,ur taurine/creatinine (u) molar ratio]
25138-9,taurie/creatinine (u) [mol rt
22100-2,avian paramyxovirus 3 ab [titer] in serum
22100-2,avian [titer] 3 ab paramyxovirus in serum
22100-2,avan autoantibodies prayxovirus a inserum [ter]
22100-2,apmv3 ab titr ser
22100-2,titr ab apmv3 ser anti
22100-2,abitr av3 ser
22100-2,avian paramyxovirus 3 ab (s) [titer]
22100-2,aian 3 aramyxovirus ab (s) [tier
22100-2,aan paramyxovirus 3 apmv ab (s)[titer]
62549-1,phenx - alcohol - maximum drinks in 24h protocol 030401
62549-1,protocol - alcohol - maximum drins in 2h phen 030401
62549-1,phenx - alcohol - maximum drinks in panel.phenx 24h protocol 030401
62549-1,alcohol max drinks 24h proto
62549-1,max alcohol drinks 24h panel proto
62549-1,alcool max 24h drinks proto
96252-2,arsenic.methylated [mass/volume] in 24 hour urine
96252-2,arsenic.methyated 24 i ur [mas/volume] hour urne
96252-2,[a/volume] arenic.methylate in 24 hour urine quantitative
96252-2,arsenic.methylated 24h ur-mcnc
96252-2,ur-mcnc 24h arsenic.methylated drugs
96252-2,arsenic.methylated 24h drug/toxicology ur-mcnc
96252-2,arsenic.methylated (24h u) [mass/vol]
96252-2,arseni.methylated [mass/vol] u) (24h
96252-2,arsenic.methylated (24h u) [mass/vol]
43423-3,sodium urate [saturation fraction] in 24 hour urine
43423-3,in rate [aturation frcion sodium 24hou urine
43423-3,urate sodium [saturation fraction] in 24 hour urine
43423-3,na urate 24h satfr ur
43423-3,na satr 24 urate ur relative supersaturation
43423-3,quantitative na urate 24h satfr ur
43423-3,sodium urate (24h u) [saturation fraction]
43423-3,sodium (24h urate u) [saturation fraction]
43423-3,sodium urate (24h u) urn [saturation fraction]
26595-9,hydroxylysine [moles/volume] in cerebral spinal fluid
26595-9,hydroxylysine [moles/volume] in spinal cerebral fluid
26595-9,ydroylysie [mles/volume] in cereral sinal fluid quant
26595-9,oh-lysine csf-scnc
26595-9,csf-scnc oh-lysine quant
26595-9,cerebrospinal fluid-scnc oh-lysine
26595-9,hydroxylysine (csf) [moles/vol]
26595-9,(csf) hydroxylysine [moles/vol]
26595-9,hydroxylysine (f) [mles/vl] quantitative
63524-3,carboxyhemoglobin/hemoglobin.total in venous cord blood
63524-3,carboxyhemoglobin/hemoglobin.total bld venous cord carbonmonoxyhemoglobin in
63524-3,caroxyhemoglobin/hemoglobin.otal in hbco venous cord lood
63524-3,cohgb mfr bldcov
63524-3,hbco mfr cohgb bldcov
63524-3,cohgb carbonyl haemoglobin bldcov mfr
63524-3,carboxyhemoglobin (bldcov) [mass fraction]
63524-3,factin] (bldcov) [mass carboxemoglobin
63524-3,carboxyhemoglobin (bldcov) [mass fraction] quan
15059-9,dopamine [moles/time] in 24 hour urine
15059-9,dopamine [moles/time] in 24 hour urine 24hr
15059-9,dopane [oles/time in 2 hourrne srate
15059-9,dopamine 24h ur-srate
15059-9,24 hours dopamine ur-srate 24h
15059-9,24husrate quant dopamie
15059-9,dopamine (24h u) [moles/time]
15059-9,[mole/time] (24h u) opamine
15059-9,dopamine [moles/time] u) (24h
82416-9,deprecated histone ab [presence] in cerebral spinal fluid by immunoblot
82416-9,deprecated histone ab [ql] in cerebral spinal fluid by immunoblot
82416-9,deprecated hison ab [resence  cerebrl spial fluid by immunoblot
82416-9,deprecated histone ab csf ql ib
82416-9,deprecatedhisonea csf immunobl ql ib
82416-9,depeated histne ab ib blt l csf
82416-9,histone ab ib ql (csf)
82416-9,west blt histon a ib ql (cerebrospinal fluid)
82416-9,histoe cerebrospinal fl ab ib (csf) ql
47074-0,pcna extractable nuclear ab [presence] in serum by immunofluorescence
47074-0,pcna extractablnuclar ab [presce] in srum byimmunofloescence
47074-0,pcna etractabl nular ab [presence] in seru by mmunofuorescnce
47074-0,ena pcna ab ser ql if
47074-0,a pcna ab ser ql if fana
47074-0,ena antibody pna a ser ql if
47074-0,pcna extractable nuclear ab if ql (s)
47074-0,pcn ifa extratable nuclea ab if ql (s)
47074-0,pcna ql eractable nucle ab if ql (s)
626-2,bacteria identified in throat by culture
626-2,bacteria identified in by throat culture
626-2,bacteria identified by throat in culture cultures
626-2,bacteria throat cult
626-2,throat bacteria cult
626-2,bacteria cult throat
626-2,bacteria identified cx nom (throat)
626-2,bacteria identified cx point in time nom (throat)
626-2,bacteria identified nom cx (throat)
13502-0,borrelia burgdorferi igg band pattern [interpretation] in serum by immunoblot
13502-0,borrelia burgdorferi igg band patrn pattern [interpretation] in serum by immunoblot
13502-0,borrelia b burg immunoblot igg band pattern [interpretation] in serum by burgdorferi
13502-0,b burgdor igg patrn ser ib-imp
13502-0,b ib-imp igg patrn serum burgdor
13502-0,b burgdor igg patrn serum ib-imp
13502-0,b. burgdorferi igg band pattern ib (s) [interp]
13502-0,b. burgdorfri igg band pttern patrn ib (s) [interp]
13502-0,b. burgdorferi igg band patter b (s) [intep]
31418-7,heterophile ab [presence] in serum
31418-7,ab heterophile [presence] in serum
31418-7,heterohile b [pesence serum in
31418-7,heteroph ab ser ql
31418-7,hteroph ab qual er l
31418-7,ab heteroph serum ql
31418-7,heterophile ab ql (s)
31418-7,mono test heterophile ab presence (s)
31418-7,heterophile ab presence (s)
87324-0,porcine circovirus type 2 [presence] in specimen by organism specific culture
87324-0,porcine circovirus type 2 [presence] in specimen specific organism by culture
87324-0,prcine crovrs pecifc 2 [presence] ispecimen by orgnim type culture
87324-0,pcv2 spec ql cult
87324-0,pcv2 spec presence ii cult
87324-0,pcv2 spec pork ql cult
87324-0,pcv type 2 org specific cx ql (specimen)
87324-0,pcv tye 2 or speif cx ql (specimen)
87324-0,pcv type cx org specific 2 ql (specimen)
31378-3,equine herpesvirus 1+4 ab [units/volume] in serum
31378-3,equine herpesvirus 1+4 in [units/volume] ab serum
31378-3,qune herpesvirus 1+4 ab [unisolme]in sru
31378-3,ehv1+4 ab ser-acnc
31378-3,sr-acnc ab ehv1+4
31378-3,ehv1+4 abs ab ser-acnc
31378-3,equine herpesvirus 1+4 ab qn (s)
31378-3,qn antby herpesvirus 1+4 ab equine (s)
31378-3,(s) herpesvirus 1+4 ab equine rhinopneumonitis qn equine
94571-7,branched chain amino acid panel - dbs
94571-7,branced dbs chain amio acid anel - ds
94571-7,branched chain amino acid panel panel.chemistry - dbs
94571-7,branched chain aa pnl dbs
94571-7,dried blood spot branched chain aa pnl dbs
94571-7,branched chain aa pnl dbs
94571-7,branched chain amino acid panel (dbs)
94571-7,branched chain panel acid amino (dbs)
94571-7,branched chain amino cid panel (dbs)
3119-5,valine [mass/volume] in urine
3119-5,valine urine quant in [mass/volume]
3119-5,valine [mass/volume in urine
3119-5,valine ur-mcnc
3119-5,ur-mnc quan valie
3119-5,ur-mcnc level valine
3119-5,valine (u) [mass/vol]
3119-5,(u) valine [mass/vol]
3119-5,(u) valine [mass/vol]
62878-4,deprecated phenx measure - conditions relevant to immune response - screener
62878-4,phenx deprecated measure - conditions relevant to immune response - screener
62878-4,deprecated henx meaure conditions pnl - reevant to immune resose - screer
54031-0,smith extractable nuclear d ab [presence] in serum
54031-0,smith extractable nuclear d ab [presence] in serum qualitative
54031-0,smith extractable nuclea d ab [preence] dextro in serum
54031-0,ena sm-d ab ser ql
54031-0,ena sm-d ab serum nuc ql
54031-0,enasm-d ab ql ser
54031-0,smith extractable nuclear d ab ql (s)
54031-0,sm mith extracalenuclrd a ql (s
54031-0,smith extractable nuclear d ab presence (s)
62355-3,chromosome analysis panel by banding
62355-3,banding analysis panl by chromosome
62355-3,baning alysispanel by chrom analy pnl chromoso
62355-3,chrom analy pnl banding
62355-3,analy chrom pnl banding
62355-3,chrom analy banding pnl
62355-3,chr analysis panel banding (bld/tiss)
62355-3,chr analysis (bl/tiss) bani anel
62355-3,hranalyis (bd/tiss) bandin panel
20651-6,methionine [moles/volume] in serum or plasma
20651-6,ethionine plasma in serum o [oles/volume]
20651-6,methioine[molesvoume]in srum or plasma
20651-6,methionine serpl-scnc
20651-6,quan ethionie serpl-cc
20651-6,methionine serum or plasma-scnc
20651-6,methionine [moles/vol]
20651-6,[moles/vol] plsm methionine
20651-6,serum methionine [moles/vol]
9424-3,intercellular substance ab [titer] in serum
9424-3,aby intercellular ab substance [titer] in serum
9424-3,intercellular substance in [titer] ab serum
9424-3,ics ab titr ser
9424-3,ics ab titr antibody ser
9424-3,ics ab ser titr
9424-3,intercellular substance ab (s) [titer]
9424-3,intercelular (s) ab sbsance [iter antibody
9424-3,titer intercellular substance ab [titer] (s)
29672-3,bordetella pertussis iga ab [presence] in serum
29672-3,serum pertussis iga id ab [presence] in bordetella
29672-3,borete point in time petussis iga ab presene] inserum
29672-3,b pert iga ser ql
29672-3,ql pert iga ser immunoglobulin a b
29672-3,b pert iga serum pr ql
29672-3,b. pertussis iga ql (s)
29672-3,b. pertussis iga presence (s)
29672-3,pertssisiga whooping cough b. ql(s)
16749-4,propoxyphene + norpropoxyphene [units/volume] in urine
16749-4,propoxyphene + [units/volume] norpropoxyphene in urine
16749-4,propxphene + propoxyphene [univolume] in urine
16749-4,propoxyph+nor ur-acnc
16749-4,ur-acnc propoxyphnor qnt
16749-4,ur-acnc popoxyh+nor
16749-4,propoxyphene+norpropoxyphene qn (u)
16749-4,random qn ropoxypene+norpropoyphen (u)
16749-4,qn propoxyphene+norpropoxyphene (u)
29721-8,influenza virus c ag [presence] in specimen by immunofluorescence
29721-8,influenza by c ag [presence] in specimen virus immunofluorescence
29721-8,immunofluorescence virus c ag [presence] in specimen by influenza
29721-8,flucv ag spec ql if
29721-8,flv sp qualitative ag presence if
29721-8,flucv if spec ql ag immune fluorescence
