source_text,target_loinc
hemosiderin urine,4644-1
hemosiderin screen urine,4644-1
urine hemosidein,4644-1
hemosiderin pr urine,4644-1
urine hemosiderin,4644-1
24 hr creatinine urine,2162-6
24 mrate hr cretinie urine,2162-6
2 hr creatnine 24 hours urin,2162-6
24 hr ua creatinine urine,2162-6
24 hr urine creatinine,2162-6
amorphous crystals urine,8246-1
crystals amorphous urine,8246-1
aophous crysals urine,8246-1
mrous crystals urine,8246-1
crystals amorphous urine,8246-1
platelet smear blood,778-1
platelet blood smear,778-1
pltelet smar bld ct,778-1
platelet smear # blood,778-1
platelet smear blood,778-1
plasma cells blood,13047-6
plasma cells bld,13047-6
lkcs plas cels blood,13047-6
bod ells plama,13047-6
white blood cell ells plama blood,13047-6
"glucose, urine urine",2350-7
"lucose, urine urine",2350-7
"urne urin glucose,",2350-7
"urine glucose, urine",2350-7
"glucose, urine urine",2350-7
"lymphocytes, percent blood",26478-8
"ercent lymphcyts, blood",26478-8
"lmphocytes, perent wb bld",26478-8
"percent lympcytes, bld lkcs",26478-8
"lymphoctes, percent blo",26478-8
"phosphate, urine urine",2778-9
"phosphate, level urine urine",2778-9
"phosphae,urneurie",2778-9
"urine urine phosphate, ur",2778-9
"urine phospate, urine",2778-9
estradiol blood,2243-4
bld estradiol,2243-4
bld estradil,2243-4
blood estradiol universallaborders,2243-4
estrdiol lood level,2243-4
hypersegmented neutrophils blood,766-6
hypersegmne neutrohils bloo,766-6
hypersegmented neutrophils manl blood,766-6
hypersegmented blood number concentration (count/vol) neutrophils,766-6
hypesegmented neutrohils bood,766-6
cd138 blood,42869-8
blood cd138,42869-8
blood cd138,42869-8
blood cd138,42869-8
blood cd138,42869-8
cd71 blood,8136-4
cd71 blod,8136-4
blood cd71,8136-4
cd71 lood,8136-4
blood cd71,8136-4
"triglycerides, pleural pleural",9619-8
"pleural pleural triglycerides,",9619-8
"triglycerides, pleural pleural chemistry",9619-8
"pleural triglycerides, pleural",9619-8
"pleral triglycries, pleura quant",9619-8
"wbc, pleural pleural",26467-1
"pleural wbc, pleural",26467-1
"wbc, leuk pleural pleural",26467-1
"plurl wbc, abs pleural",26467-1
"wb, pleural hematology/cell counts pleral",26467-1
base excess blood,11555-0
base excess blood,11555-0
base bld exess bld,11555-0
base excess blood,11555-0
exs bld excess base,11555-0
hyphenated yeast urine,41865-7
hyphenatedyeast rine,41865-7
hyphenate rn yeast,41865-7
hyphenated yast ine,41865-7
urine yeast hyphenated,41865-7
hemoglobin blood,718-7
bld hemglobin bld,718-7
blood hgb hemoglobin,718-7
haemoglobin blod hemogloin,718-7
blood hemoglobin,718-7
"urine crystals, other urine",5783-6
"urine crystals, urine other",5783-6
"crystals, urine other urine",5783-6
"urine crystals, urine other",5783-6
"urine crystals, urine other",5783-6
cd103 bone marrow,51221-0
marrow bone cd103,51221-0
cd103 boe marrow,51221-0
marrow bone cd103,51221-0
mrrow bone c13,51221-0
waxy casts urine,5819-8
casts waxy urin,5819-8
waxy urine casts,5819-8
waxy urine casts,5819-8
waxy casts urine,5819-8
acetaminophen blood,3297-9
acetaminophen bld,3297-9
acetaminophen bld,3297-9
blood cetaminophe addiction,3297-9
acetaminophen blood,3297-9
hepatitis b virus core antibody blood,5187-0
hepatitis b virus core antibody blood,5187-0
hepatitis b virus antibody core blood,5187-0
hepatitis b virus core antibody elisa blood,5187-0
hepatitis b antibody core virus blood,5187-0
cd11c blood,8109-1
blood cd11c,8109-1
blood cd11c,8109-1
cd11c blod,8109-1
cd1c blood,8109-1
pencil cells blood,10377-0
pencil qual blood cells,10377-0
pencil bld cell cells,10377-0
peni clls blood blood,10377-0
peciclls pt blod,10377-0
cd13 other body fluid,51238-4
fluid other body cd13,51238-4
fluid other body cd13,51238-4
cd13 fluid body other,51238-4
cd13 flid body other,51238-4
thyroid stimulating hormone blood,3016-3
thyroid stimulatin arbitrary concentration hormon blood,3016-3
stiulating thyroid homne blood,3016-3
hormone throidstimulating loo serum,3016-3
arbitrary concentration thyroid stimulating hormone blood,3016-3
blasts blood,708-8
blasts bld,708-8
blasts blod,708-8
abs blasts bld,708-8
bld blasts,708-8
atypical lymphocytes ascites,33369-0
ypical acites lymphocytes,33369-0
atpia lymhocytes lymph ascites,33369-0
typicallmpocyts quantitative ascites,33369-0
lymphocytesascites typical white blood cells,33369-0
"blood, occult stool",2335-8
"occult blood, stool",2335-8
"stoo occult blood,",2335-8
"bld, occult chemistry stool",2335-8
"blood, occult stool",2335-8
cd7 blood,8135-6
c7 blood,8135-6
blood cd7,8135-6
blood cd7,8135-6
blood d7,8135-6
monocytes ascites,26488-7
monocytes ascites,26488-7
ascites monoytes,26488-7
ascites monocytes,26488-7
ascites monocytes,26488-7
prostate specific antigen blood,2857-1
prostate specific psa antigen blood,2857-1
prostate specific quant antigen bld,2857-1
psa rostae specific antien bld,2857-1
ntign specific prostate bld,2857-1
atypical lymphocytes joint fluid,33371-6
leuk atypcal lymphcyts joit fuid,33371-6
fluid lmphocytes joint atypial,33371-6
atypical lymphocytes fluid joint,33371-6
atypical joint lymphocytes fluid,33371-6
follicle stimulating hormone blood,15067-2
follicle simulatng homone blo quant,15067-2
hormoneblod follclestmlatin,15067-2
follicle stimulating blood hormone,15067-2
follicle hormone stimulating blood,15067-2
"albumin, body fluid other body fluid",1747-5
"albumi, bdy fluid quantitative other bodyfluid",1747-5
"lbuin, bo fluidothebodyfluid",1747-5
"albumin, body fluid other body quan fluid",1747-5
"albumin, body fluid other body fluid",1747-5
