ketone urne|ketne urie|mchc blood
other blood cells|other cells bloo|urineurine manesium,
marrow bone cd64|cd64 bone marrow|mcytes blood
whole blood screen benzodiazepine blood|benzodiazepine screen blood|salicylate blood
fluid other body cd13|cd13 fluid body other|blood phenobarbital drug/toxicology
cd4 cels, prcet blod|cd4 cells, percent blood|barbiturate scrn blod
ati-parita cell antbody blood|blood cellantibody antibodies anti-prietal|poysascites
cd16/56 bone marrw|cd16/56 marrow bone|bite blood cells
total binding capacity, iron blood|transfrrin bloo|leeding time blod
cd41 other body fluid|cd41 other body fluid|luteinizing hormone blood
level bld digoxin|digoxin o|smllity, urineurine
cd22 other body fluid|cd22 ther fluid bdy|blood rine
fluid joint monocytes|leuk fluid joint monocytes|schistocytes blood
hepatitis a virus igm antibody blood|antibody a virus igm hepatitis blood|other cd16/56 body fluid
hepatitis b surface antigen blood|hepatitis b surface antigen blood|antibody a virus igm hepatitis blood
mesothelial cells other body fluid|mesothelial cells lkcs other body fluid|quantitative ascites chloride, ascites
cd11c blod|blood cd11c|mono random other body luid
centromere blood|centrome autoantibody blood|cd4 cells, percent blood
blood ql anidepessant screen tricycli|pr tricyclic antidepressant screen blood|estimatedfr (mdrdeqution) blood
hdl cholesterol, blood|choleserl, hdl choles blod|creatinine, ascites ascites
urine csts,oher rne|urine other casts, urine|blood smear h/o
amylase, urine urine|urine amylase, amyl urine|-dier bloo
thyroxine (t4) blood mass concentration|thyroxine (t4) levothyroxine blood|acanthocytes blood
flui joit bands|bands fluid joint|plsm bld total calcum
cholesterol ratio (total/hdl) blood|cholesterol ratio blood (total/hdl)|drugs ctone bld
urine total volume, urine|urine volume urine|rbc asts urin
bone cd59 marrow|cd59 one arow|hematocrit, volfr calculated bld
urine sperm|sperm urine|quinidine blood
factor viii inhibitor blood|factor iii ihbtor blood|amphetamne amph urineurie screen,
lbuin, bo fluidothebodyfluid|albumin, body fluid other body fluid|blood cd138
follicle simulatng homone blo quant|follicle hormone stimulating blood|marijuana urine
marrow bone cd7|cd7 bone marrow|bands whole bld bld
phosphate blood|blood phosphate|cd16/56 blood
blood ttoter|blood testosterone|myelocytes cerebrospinal fluid (csf)
bands other body fluid|bands fluid boy other|spherocytes blood
pleural pleural chloride,|pleural pleual chloride,|choles chlesterol, ldl, calclated blood
tidal volume blood|volume tidal blood|platelet smear blood
immunoglobulin pl a blood|immunoglobulin a bld plsm|creatinine, joint fluid joint fluid
urine urine quantitative sodium,|sodium, urine urine|urine fat bodies urine
blood basophils|basophils blood|hemoglobin f blood
cd22 other body fluid|other cd22 body fluid|blood cd16/56
ph boy ohr bodies fluid|body other ph log molar concentration fluid|blood cd15
uric acid rysals uri|uric acid urine crystals|cortisol blood
marrow bone cd23|bon cd23 marow|cd7 bone marrow
fetal hgb f hemoglobin bld|hemoglobin fetal hematology/cell counts bld|bilirubin, direct blood
urine sulfonamides|sulfonamides urine|lipid cholesterol,ld, calculated blood
othe cd56 bdy flid|body other cd56 fluid|urea nitrogen, urine urine
tissue transglutaminase ab, universallaborders iga bld|tissue tansglutaminase ab, iga bld protein-glutamine gamma glutamyltransferase|reticulocyte red cell count, blood manual
bon cd23 marow|marrow bone cd23|howell-jolly bdies bloo
ascites polys ascitic fluid|polys ascites|quan blood promyelocys
atypical lymphocytes ascites|ypical acites lymphocytes|r(pt) ood
rbc, rbcs ascites ascites|rbc, ascite absolute ascites|hemoglobin fetal hematology/cell counts bld
phosphae, bodyfluid fluid body oher|quan phosphate, body fluid fluid body other|cell pasma ascites
gastrin blood|blod gastrin|factor viii inhibitor blood
sodium, stool stool|tol stol sodiu quan|aticardiolipn igm antbody blood
cholesterol, ldl-c ldl, measured blood|cholesterol, blood measured ldl,|<albumin> cf) luid cerebrosinal
screen, addiction opiat urine urine|illicit piaescree, uine urin|fetal hgb f hemoglobin bld
blood point in time gentamicin|serplas gentamicin blood|body other ph log molar concentration fluid
monos other body fluid|mono random other body luid|blood cd16
phosphate, urine urine|urine phospate, urine|myelocytes cerebrospinal fluid (csf)
blood cd64|blood cd64|broad casts uine
phenytoin, blood free percent|henytoin, blood fee perent|urea nitogen, urineuine random
antibodiesblood peroxidase tyoid|blood autoantibodies peoxidse antibodies thoid|cd16/56 marrow bone
cholesterol urine crystals|chlterol crystals urine|amylase bloo catalytic concentration
blood cd16|cd16 blood|urine ph
plasma pleural cells|plasma cells pleural|urine bacteria
lm blood sherocts|spherocytes blood|rbc, pleural pleural
red bld cells bld|red blood cells blood number concentration|glucose, ascites ascites quantitative
blood cd117|cd117 bloo|24 hr calcium urine
bicarbonate bld|blood bicarbonate|hematocrit, calculated blood
calculated tbg blood|tbg caculated blod|arrow bone c7
point in time esinophil cerebrospial fluid (sf)|eosinophils luid cerebrospnal (cerebrospinal fluid)|anticardiolipinantibody m blood
blo cd10|blood cd10|blood cd22
other cd7 body fluid|cd7 fluid body other|eosiophil joint fli
gravity specific urine|specific gravity urine|ascites ascites osmolality,
alveolar-arterial blood gradient|blood gradient alveolar-arterial|epithelial transitional cells urine
cd71 lood|cd71 blod|blood inr(pt)
random shistocytesbloo|schistocytes bod|white bld cells bld
bilrbin, indiet blood|bilirubin, indirect blood|glucose, csf cerebrospinal fluid (csf)
polys ascites|poysascites|bld melocytes
anti-mitochondrialantibody blood|atimitochondrilantibody blood ama|renal epithelial urine cells
urea nitogen, urineuine random|urea nitrogen, urine urine|percent cells, cd4 blood
alveolar-arterial blood gradient|blood gradient alveolar-arterial|neutrophils hypersegmented cerebrospinal fluid (csf)
hematocrit urine|hematocrit urine|amorphous crystals urine
appearance urine urine|urie apperance urine|fld quantitative nitrogen,body urea other bodflid
m immunoglobulin quant blood|immunoglobulin m bld|blood serpl potassium
blood cd16|blood cd16|hematocrit, csf cerebrospinal fluid (csf)
blood ql anidepessant screen tricycli|antidressant triyclc screen bood|cd41 othr luid body
polys cerebrospinal (cerebrospinal fluid) fluid|polys cerebrospinal fluid (csf)|quan fluid nitrogen, body urea other body fluid
cd4 cells, percent blood|cd4 cels, prcet blod|rbc, pleural pleural
blood methemoglobin|blood methemoglobin|acetaminophen bld
antithrombin blood|bloo antithrombin|<albumin> cf) luid cerebrosinal
ph blood|chemistry bood p|base excess blood
eectohoresis, prot. urine urne pr|ot. elecrophresisrine urine|blood c117
blasts fluid cerebrospinal (csf)|blasts cerebrospinal fluid (csf)|ammoium biuate urin
marrow bone cd11c|cd11c bone marrow|bld apamycin bld
reptilase blood time|reptilase blood time|pleural pleural albumin,
absolute blood count cd4|count cd4 absolute blood|fluid body sodium, other body fluid
lactat dehydoenase (ld) blood|lactate dehydrgenase (ld) bld|cd4 body other fluid
quant holesterol pleural pleurl|cholesterol, pleural pleural|cd64 bone marrow
anti-gliadin antibody antibody, iga bld|anti-gliadin antibody, iga blood|pco2, body fluid other body fluid
hepatitis hep b blood surface antigen b|hepatitis b surface antigen blood|wbc, leuk pleural pleural
hematocrit, caculated blood|hematocrit, calculated blood|monos leural
osmolality, stool stool stool = fecal|stool stool osmolality,|von willebrad activity factor blod
eoinophil scit leuc|eosinophils ascites|total protein, pleural pleural
rbc, ascite absolute ascites|rbc, ascites ascites|quan alpha-fetoproteinblod
blood cd5|blood cd5|c, protein antigen blood
hemosiderin screen urine|hemosiderin pr urine|urine ph
factor ix blood|blood ix factor|other lymphocytes atypical body fluid
plasma csf (csf)|cerebrospinal fluid) cerebrosinal flui cerebral spinal fluid plasma|blood cd22
carboxyhemoglobin blood|blood carboxyhemoglobin|polys pleural
acetaminophen blood|blood cetaminophe addiction|blood thrombin
other lymphocytes atypical body fluid|atypical lphocytes hematology/cell counts body other fluid|bld albumin mass concentration
bone cd13 marrow|marrow bone cd13|blood etamyelocyes
volume tidal blood|tidal volume blood|bilirubin, indirect blood
free calciumblood|blood calcium free|cd16 blood
urine urine methadone,|methadone, urine urine|cd11c oter fld boy
mchc blood|blood mchc|hyalin cats uine
creatinin, joint flui jointfuid|synovial fluid creatinine, joint fluid joint fluid|rbc uine
urie apperance urine|urine urine ppearne|total proten, joint flu jointfluid jint lui
white blood wb cells blood|white blood count/volume cells blood|atpical lympocytes lymphs cererospinl flud (csf
acto blood xii|xii factor blood|cd15 other body fluid
fluid joint pnm bands|bands fluid joint|benzdiazepine screen,uin urine pr
ascites alb albui,acites|albumin, ascites ascites quant|other plasma body fluid
antien factor vonwillebrand blod|willebrand von factor antigen blood|blood peep
spherocytes blood|spherocytes blood|oxge blood
pleural eosinophils|eosinophils pleural|sodium, ascites ascites
eosiophil joint fli|joint eosiophis fuid|cd20 blood
ascites basophils|ascites basophis|haemoglobin mchc blood
pleural bicarbonate, pleural|bicarbonate, pleural pleural|uric acid rysals uri
hypersegmne neutrohils bloo|hypersegmented blood number concentration (count/vol) neutrophils|atypcal lmphocytes bood
blood cd41|blood cd41|total urine urine protein,
