anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
nt-nuclear tibodyblood|anti-nuclear antibody blood|von willebrand factor activity blood
cyclosporin ciclosporin bld|blood serum closorin|uine graiy speific
blood ct bands|bands blood|pleural polys leuk
uin sulfonmds|sulfoamides uie|quan eoinophils othebody fuid
total protein, joint fluid joint fluid|quantitative fuid joint lid joint totalprote|cd34 bone marrow
bicarbonate, urine urine|bicaonate, urne urie|wbcs atypical lymphocytes ascites
tyrosne urine crytas|crystals tyrosine urine|epithelial transitional cells urine
flu bicarbonate, other fluid other body fluid|carbonic anhydride other fluid bicarbonate,other body fluid|iron binding capacity, total blood
blood ovalocytes|ovalocytes blood|d-dimer blod
polys other body fluid|polys other body fluid|serology thyroid peroxidase antibodies blood
cortisol blood|cortisol blood cort|pten s, funciona blood
bilirubin, total blood serpl|bilirubin, heme total blood|mesothelial cells pleural
blood count, manual reticulocyte|reticulocyte con, manual lod|atypical lymphocytes ascites
polys csf (csf)|polys cerebrospinal fluid (csf)|heatitis anibod iru igm a bood
triiodothyronine (t3) blood|triiodyronne (t3 bood|casts waxy urine
pco2 blood|pco2 blood|pep, csf csf fraction (csf)
hematocrit, other fluid body other fluid|hematocrit, other fluid other body fluid|urn glucse, urie rine
urine fatty|urine fatty|quant iron bld
stool occult blood, faeces|bld, ocut ool|cd4/cd8 body other ratio fluid
sugar wte test blood|sugar water test blood|blood hemoglobin
hypersegmented neutrophils blood|bld neutrohils hyperegmented manl|trichomonas urine
fluid cerebrospinal polys (csf)|pols crebospnl flud cerebrospinal fluid)|reticulocyte count, absolute blood
triglycerides, qnt leurl pleural|triglyceride, pleural pleural random|blood myelocytes hematology/cell counts
phsphate, urine level urine|phosphate, urine urine|joint creatinine, fluid joint random fluid
bf macrophage other body fluid|macrophage body other fluid|cholesterol, bood serum total
ascites ascites creatinine,|prt creatinine, ascites ascites|direct protein.albumin bilirubin, blood
ovalocyte blood ovalocytes|ovaoctesblod|bloo smear platelet manl
hypersegmented bld neutrophils neuts hyperseg|hypersegmented neutrophils blood|creatinine, pleural pleural
body other cd20 fluid|other cd20 body fluid|hemogloblin blood s
d4/cd raio blood|cd4/cd8 ratio blood|blood bands
asctes ascitic fluid ascies wbc,|ascites wbc, count/volume ascites|bicarbonate, pleural pleural
marrow bone cd5|cd5 bone marrow|homocysteine blood
onemarrw cd64|bone cd64 marrow|uine graiy speific
calcium, totalblood|quan calcium, blood total|body protein, total fluid other body fluid
trichomonas urine|trichomonas rin|cd16/56 other body fluid
nrbc fluid erythroblasts joint|fluid joint nrbc|mch hb bloo
blood gap anion|anion gap blood|monocytes ascites
fluid joint ld, joint fluid|fuid joint ld,ointflud catalytic concentration|quant iron bld
follicle stimulating hormone blood|follicle stimulating hormone blood universallaborders|wbc, fluid joint joint fluid random
osmolality urine urine|urine urine osmolality, urn|bicarbonate, ascites ascites quantitative
anisocytosis blood|blood whole blood anisocytosis|cholesterol urine crystals
bld serp lipase|lipase lps blood|cd45 fluid body other
point in time tota protein, peural plural|total pleural thoracentesis fluid pleural protein,|lactate chemistry csf dehydrogenase, cerebrospinal fluid (csf)
bld level antigen (cea) carcinoembyronic|arcinoemyroic antigen (cea) blood|blood serum closorin
leuk other metamyelocytes body fluid|mtamyelocyteother body fluid|facor v lood
cholesterol, pleural pleural|pt cholesterol, pleural pleural|prot. electrphoress, urine urine
macrocytes blood|ood macrocyte|point in time % hemoglobin a1c blood
count monocyte blood|count monocyte count blood|hemoglbin random blood
monocytes ascites|ascites monocytes|c-reactive protein blood
hmoglobi bood|hemoglbin random blood|cerebrospinal fl myelocytes cerebrospinalfld (cf)
porphobilinogen screen urine|porphobilinogen screen urine|phenytoin, free blood
polys ascites|polys gran ascites|anti-smooth muscle antibody blood
base excess blood|bse excess pulmonology bloo|blasts blood ct
blood micrctes blood|microcytes ordinal blood|(c)blo kinase cratine qnt
urine bacteria|urine bacteria|urine ph
cd33 ther bod fluid|cd33 other body fluid|sex hormone binding globuin bood sex steroid binding protein
urine ketone|urine ketone|blast blod
absolute count cd8 blood|absute cd8 coutblood|blood fa centromere
blood cd3|blood cd23|cholesterol, body fluid other body fluid
chlorde, whol bloodblood blood|chloride, whole blood blood|blood transferrin
fibrinogen, functional blood|functional fibrinogen, blood|wbc, csf cerebrospinal fluid (csf)
blood (t3) quant triiodothyronine|blood (t3) triiodothyronine|fluid other body cd7
cner antigen blood plsm 27.29|cancer antigen 27.29 blood sr|myelocytes blood
bacteria urine|urine bacteria|fluid other body cd7
hephylline bood|blood theophylline theo-dur|urine specimen urine type
amorphous crystals urine|crystals amorphous urine|blood pt
urine ketone|urine ketone|fetal blood percent hemoglobin
mtamyelocyteother body fluid|leuk other metamyelocytes body fluid|blood cd20
ascites basophils|scites basophis|hepatitis abs a virus antibody bld
ani-thyroglobulin sr bood antibodies|anti-thyroglobulin antibodies blood|platelet bld count
a hemogloblin bood|hemogloblin a blood|blood roteinlectroporesis
joint polys fluid|polys joint fluid|benzodazeine screen pr blod
24 hr urine calcium|24 mrate hr calcium urine|calcium phosphate urine crystals
bod imunofixation|blood ife immunofixation|gluose, ody body oher fui fluid
estimed serpl gfr(mdrd equation) bld|estimated gfr (mdrd equation) blood gfr|heinz body prep body bld
fluid other body cd138|cd138 other body fluid|potassium, urine urine
bloo phosphatase alkalie alkaline phosphatase.total|phosphatase alkaline blood|hcg, ualitative urine, urin
ascites ascites chloride,|chloride, ascites ascites quan|double stranded dna blood
blood eosinophils|eosinophis bld|urine specien type urine
eticocyte wb count, blood absolute|reticulocyte count, absolute blood|pleural pleural cholesterols cholesterol,
tbgblood qnt calulated|chemistry blod tbg calculated|blood serctes micro
lymphocytes percenblod|lymphoyte,percent blood|glucose blood
level iron blood|iron bloo|absolute lymphocyte count bloo
cner antigen blood plsm 27.29|tumor marker cancer antigen 27.29 blood|marrow boe cd3
serum or plasma protein, total bld|total protein, blood pt|nrbc cerebrospinal fluid (csf)
blood inr(pt)|blood inr(pt)|cd38 fluid body other
urne potentialforabuse methadone, uine|urine urine pr methadone,|promyelocytes othe body fluid body fluid
cd3 bne arro|cd3 one marrow|polys fld joint
tranferrin blood plasma|blood transferrin|cd14 marrow bone
transitional epithelial cells urine|transitional epithelial urine cells|osmotic fragility blood
blood mch electr|bld mch haemoglobin|stool stool chloride,
lood o2flo|o2fow blod flow|acidblood valproi
albumn blood|alumin blood|igm antibody anticardiolipin blood
blood hematocrit|bloo hematcit|blood antibod anti-mitochndrial
ovalocytes blood|ovalocyte blood ovalocytes|anti-gliadin antibody, iga blood
level iron blood|quant iron bld|re cellsblood blood
fluid neutrophils cerebrospinal hypersegmented (csf)|hypersegmented neutrophils csf (csf)|hypochromia blood
hyalin casts urine|hyaline urine casts|blood cd2
tbgblood qnt calulated|chemistry blod tbg calculated|asctes lkcs bsphils
protein functional c, blood|protein c, functional blood|lipase, body fluid other bf ody fuid
macrocytes blood|mcrocytes micro blood|polys cerebrospinal fluid (csf)
marrw cd103bone|cd103 bone marrow|bld ql schistocytes
phsphate, urine level urine|phosphate, urine urine|transferrin blood
cells bite blood|qual bite cells blood|bands cerebrsal (csf) fuid
gastrin blood|quan gatrin blood|phosphate, urine urine
blood serplas tobraycin|blood tobramycin|cerebrospinal monocytes fluid hematology/cell counts csf)
bone cd16/56 marrow|cd166 bone marrow|blood xii factor
fetal blood percent hemoglobin|bloo fetalhemoglobin|blood functional fibrinogen,
other cd3 body fluid|cd3 oter body fluid|blood inr(pt)
sickle cell point in time preparation blood|blood cell sickle cells preparation sickle|cd117 other body fluid
rtculocyt count, absolte blood|eticocyte wb count, blood absolute|bite cells bld
bld s hemogloblin|heogloblinsblood|homocysteine bld
blood percent lymphocytes,|lymphocytes, percent blood|ammonia level blood
wb smear araite bld bld|parasite bld smear bld|urine hemosiderin
rticulocyte cunt,utomated blod auto|riculoytecoun, blood autoate quan|absute cd8 coutblood
blood cd22|cd22 blood|wb smear araite bld bld
urine wbc|urine wbc|monocytes ascites
blood acanthocytes|acanthocytes blood whole blood|anion ag gap bld
blood vancomycin|bld vancomycin|level iron blood
blood thrombin|lood thrombin|spherocytes blood
macrophage body other fluid|macrophage other body fluid|ratio uptake blood
blood hla-dr|hla-dr blood|macrophage other body fluid
carboxyhemoglobin blood|carboxyhemoglobin blood hgb|protein, toal blood universallaborders
luteinizing hormone blood|luteinizing hormone blood|bilirubi, blood universallaborders tota
bld s electrophrs hemoloblin|heogloblinsblood|osmolality, universallaborders blood measured
serum or plasma protein, total bld|protein, total blood|blood cen centromere
