Hashtag Basketball
Rankings
Schedule
Dynasty
Other
Premium
Support
Network
Login
NBA Defense vs Position
This page collects and calculates the average statistics allowed by each team by position based on 48 minutes of playing time.

Defenses are ranked from top to bottom. For fantasy purposes, the worse the defense the better.

This is not what an individual player will average, but rather what players playing the position have combined to average to help identify positions of weakness.

Last updated: 06 January 2026 by Joseph Mamone ( @josephmamone)

Access full projections and unlock our premium Yahoo, ESPN & Fantrax league tools with an active Patreon subscription for $2.50/mo 


Show data from the entire 2025-26 NBA Season (Updated daily)
Opponent defensive ranking
Top 50 Middle 50 Bottom 50
Summary by position
PG  	SG  	SF  	PF  	C  
Best Defense
Sort: Position	Sort: Team	Sort: PTS	Sort: FG%	Sort: FT%	Sort: 3PM	Sort: REB	Sort: AST	Sort: STL	Sort: BLK	Sort: TO
C	MEM   13	19.5   8	53.9   132	74.6   34	1.0   5	13.4   127	4.7   73	1.2   12	1.9   133	3.0   4
C	PHO   15	21.3   21	57.0   145	70.2   13	1.2   13	14.3   136	4.0   37	1.4   32	2.0   139	3.3   1
C	ORL   16	19.4   6	50.0   117	77.4   60	0.6   1	15.1   142	4.2   46	1.3   21	2.3   145	3.0   2
C	MIL   24	19.2   5	56.0   142	67.9   3	0.8   4	13.5   128	3.5   10	1.4   29	1.2   107	2.5   135
C	OKC   25	18.4   3	47.8   96	70.8   15	1.5   25	13.6   129	3.3   7	1.4   28	1.6   123	2.9   147
Worst Defense
Sort: Position	Sort: Team	Sort: PTS	Sort: FG%	Sort: FT%	Sort: 3PM	Sort: REB	Sort: AST	Sort: STL	Sort: BLK	Sort: TO
C	SAC   150	25.7   139	61.0   150	66.5   2	1.3   16	16.0   149	4.3   52	1.9   120	2.4   147	3.0   138
C	DAL   144	25.1   129	55.4   139	69.9   11	1.4   22	15.3   146	4.7   76	1.6   66	2.0   141	2.7   144
C	NO   138	24.3   116	56.4   143	75.0   35	1.2   15	15.4   148	4.8   77	1.2   13	2.2   144	2.6   137
C	WAS   133	23.9   100	55.3   138	69.2   8	1.6   28	16.1   150	4.3   53	1.4   33	3.1   149	2.6   150
C	CHA   124	24.1   108	54.7   136	71.6   21	2.4   56	12.0   121	4.7   70	1.4   34	1.6   125	2.5   108
Position data

All positions

All Teams
Sort: Position	Sort: Team	Sort: PTS	Sort: FG%	Sort: FT%	Sort: 3PM	Sort: REB	Sort: AST	Sort: STL	Sort: BLK	Sort: TO
PF	OKC   1	20.0   11	43.1   16	69.5   9	2.2   42	10.2   103	4.0   33	1.2   8	0.9   81	3.5   8
PG	OKC   2	21.7   35	40.6   1	72.4   23	3.3   130	6.2   24	7.1   121	1.7   77	0.4   6	4.1   38
SF	MIN   3	20.9   16	43.1   17	81.6   105	2.6   67	7.9   76	3.9   28	1.6   58	0.5   23	2.4   92
PF	GS   4	21.3   20	46.7   77	77.5   61	2.3   49	10.4   107	4.0   31	1.5   50	0.8   78	3.2   11
SF	NY   5	23.1   78	45.0   47	71.4   20	3.5   136	7.5   69	3.8   24	1.1   6	0.6   56	2.7   57
PF	HOU   6	19.5   7	46.2   69	68.5   6	2.1   39	7.9   75	3.4   9	1.6   59	1.2   103	2.0   128
SG	BOS   7	22.5   56	43.4   20	80.0   85	3.1   111	6.7   42	5.2   102	1.0   5	0.4   13	2.6   71
PG	BKN   8	21.7   34	42.3   9	82.2   112	2.7   69	5.8   11	8.7   140	1.9   110	0.4   8	3.1   15
SF	DET   9	21.8   37	44.3   33	81.1   99	2.2   48	7.4   64	3.9   27	1.9   121	0.8   75	3.2   10
PG	BOS   10	21.3   19	41.8   4	86.3   141	3.4   132	5.5   5	8.7   138	1.3   17	0.5   20	3.2   39
PG	HOU   11	22.2   44	43.0   14	75.9   42	3.1   110	5.7   9	7.7   127	1.9   111	0.5   30	3.7   30
