Team Defense (data last updated 1-1-26):

| Rank | Team                   | GP |  W |  L |  MIN | DEF RTG | DREB | DREB% |  STL | BLK | OPP PTS OFF TOV | OPP PTS 2ND CHANCE | OPP PTS FB | OPP PTS PAINT |
| ---: | ---------------------- | -: | -: | -: | ---: | ------: | ---: | ----: | ---: | --: | --------------: | -----------------: | ---------: | ------------: |
|    1 | Oklahoma City Thunder  | 34 | 29 |  5 | 48.6 |   104.5 | 35.2 |  71.2 | 10.4 | 5.5 |            15.5 |               13.1 |       11.4 |          39.1 |
|    2 | Detroit Pistons        | 33 | 25 |  8 | 48.3 |   110.7 | 32.6 |  68.6 | 10.1 | 6.2 |            17.5 |               15.2 |       14.2 |          43.6 |
|    3 | San Antonio Spurs      | 33 | 24 |  9 | 48.2 |   112.8 | 34.5 |  71.9 |  8.1 | 4.7 |            16.3 |               13.3 |       13.0 |          47.3 |
|    4 | Denver Nuggets         | 33 | 23 | 10 | 48.5 |   116.4 | 33.8 |  71.0 |  7.1 | 3.8 |            17.4 |               13.5 |       15.6 |          50.4 |
|    4 | New York Knicks        | 33 | 23 | 10 | 48.0 |   115.2 | 32.5 |  70.3 |  8.2 | 4.2 |            17.7 |               14.8 |       14.7 |          45.4 |
|    6 | Minnesota Timberwolves | 34 | 21 | 13 | 48.4 |   112.7 | 33.0 |  69.0 |  8.5 | 5.4 |            17.1 |               14.3 |       13.6 |          50.3 |
|    7 | Boston Celtics         | 32 | 20 | 12 | 48.0 |   114.3 | 31.3 |  67.0 |  8.3 | 5.4 |            14.8 |               16.3 |       13.1 |          41.1 |
|    7 | Houston Rockets        | 30 | 20 | 10 | 49.0 |   112.9 | 32.7 |  70.1 |  8.8 | 5.6 |            19.5 |               16.3 |       13.8 |          48.3 |
|    7 | Los Angeles Lakers     | 31 | 20 | 11 | 48.0 |   117.8 | 30.8 |  69.3 |  8.3 | 4.0 |            20.4 |               14.4 |       16.1 |          49.6 |
|    7 | Toronto Raptors        | 35 | 20 | 15 | 48.3 |   112.5 | 31.9 |  69.1 |  8.6 | 4.4 |            17.4 |               15.0 |       12.9 |          47.6 |
